Record ID,Last Activity Date,State,Deal Stage,Close Date,Amount,Date of last meeting booked in meetings tool,Pipeline,Associated Product,Products,LMS,Associated Product IDs
14781898240,7/29/2024 8:00,,Closed Lost ,6/20/2024 14:08,1791,,"Mid Atlantic (MD, DE, DC)",,CCR: Career &College; Entrepreneurship,,
14720865823,7/29/2024 8:00,Texas,Circle Back ,10/30/2023 15:22,10000,,Texas,,,,
14632267098,7/29/2024 8:00,Texas,Circle Back ,10/16/2023 15:23,10000,,Texas,,,,
14614020232,7/29/2024 8:00,Texas,Circle Back ,11/15/2023 15:25,15000,,Texas,,,,
14543770667,7/29/2024 8:00,Texas,Circle Back ,10/16/2023 15:26,15000,,Texas,,,,
14543374365,7/29/2024 8:00,,Late Stage Meeting,10/16/2023 11:43,45000,,Higher Ed ,,,,
14543561327,7/29/2024 8:00,Maryland,Late Stage Meeting,10/2/2023 11:39,200000,,Higher Ed ,,,,
14543415600,7/29/2024 8:00,,Closed Lost ,6/28/2024 16:56,24000,,"Mid Atlantic (MD, DE, DC)",,,,
13712573703,7/29/2024 8:00,,Paid,5/22/2024 9:33,12000,,"Mid Atlantic (MD, DE, DC)",,,,
13648707511,7/29/2024 8:00,Alabama,Closed Lost ,,60000,,Higher Ed ,,,,
13648470947,7/29/2024 8:00,Arkansas,Circle Back ,2/29/2024 0:56,,,Higher Ed ,,,,
13648415778,7/29/2024 8:00,,Late Stage Meeting,10/30/2023 19:02,70000,,"South (LA, AR, AL, MS)",,,,
13648669601,7/29/2024 8:00,New York,Paid ,5/22/2024 14:11,13200,,NYC Schools ,,CCR: Career &College,,
13648415779,7/29/2024 8:00,New York,Contract Signed,11/10/2023 8:50,12000,,NYC Schools ,,CCR: Career &College,,
13648434192,7/29/2024 8:00,,Paid ,5/22/2024 14:13,12000,,NYC Schools ,,Entrepreneurship,,
13648665489,7/29/2024 8:00,,Contract Signed,9/14/2023 10:19,12000,,"Mid Atlantic (MD, DE, DC)",,,,
13648367472,7/29/2024 8:00,,Closed Lost ,6/28/2024 16:56,60000,,"Mid Atlantic (MD, DE, DC)",,,,
13648353831,7/29/2024 8:00,,Closed Lost ,4/30/2024 15:20,9000,,"Mid Atlantic (MD, DE, DC)",,,,
16909949536,7/26/2024 14:31,New York,Circle Back ,,,,NYC Schools ,,Readiness,,
20976872105,7/26/2024 13:19,,Demo,,,,"Pacific (CA, OR, WA)",,,,
20954187024,7/26/2024 8:00,,Closed Lost,7/26/2024 12:10,,,VA,,,,
20860887443,7/26/2024 8:00,,Closed Lost ,7/24/2024 8:23,,,"Mid Atlantic (MD, DE, DC)",,,,
20362406497,7/26/2024 8:00,Florida,Demo,,,,"South East (NC, SC, TN, MS, AL, GA, FL)",,PPR,,
20300868455,7/26/2024 8:00,Georgia,Demo,,,,"South East (NC, SC, TN, MS, AL, GA, FL)",,,,
20175514011,7/26/2024 8:00,Virginia,Closed Lost,8/6/2024 16:00,,,VA,,,,
20145830700,7/26/2024 8:00,Tennessee,Circle Back ,10/1/2024 16:25,0,,"Appalachia (TN, OH, KY, WV, PA) ",SE - Social Entrepreneurship ,,,2455972120
20079832388,7/26/2024 8:00,Maryland,Demo,,,,Higher Ed ,,,,
20035769186,7/26/2024 8:00,New York,Circle Back ,,,,NYC Schools ,,,,
20012148232,7/26/2024 8:00,Tennessee,Demo,,,,"Appalachia (TN, OH, KY, WV, PA) ",,,,
19929705031,7/26/2024 8:00,Kentucky,Closed Lost ,7/22/2024 14:09,,,"Appalachia (TN, OH, KY, WV, PA) ",,,,
19827650124,7/26/2024 8:00,Maryland,Closed Lost ,,2388,,Renewals ,,,,
19755435567,7/26/2024 8:00,New York,Closed Lost ,7/8/2024 17:52,16716,,NYC Schools ,,IEP/SPED,Google Classroom,
19754729991,7/26/2024 8:00,New York,Contract Signed,6/3/2024 9:26,4776,,NYC Schools ,,IEP/SPED,Google Classroom,
19740048452,7/26/2024 8:00,New York,Contract Signed,4/5/2024 18:49,12000,,NYC Schools ,,,,
19736785427,7/26/2024 8:00,Maryland,Closed Lost ,7/17/2024 15:27,,,"Mid Atlantic (MD, DE, DC)",,,,
19735579765,7/26/2024 8:00,New York,Closed Lost ,6/13/2024 10:11,,,NYC Schools ,,,,
19706436532,7/26/2024 8:00,Virginia,Closed Lost,6/1/2024 0:11,,,VA,,,,
19706157175,7/26/2024 8:00,Virginia,Closed Lost,6/17/2024 14:35,4776,,VA,,CCR: Career &College,Canvas LMS (Paid),
19680327487,7/26/2024 8:00,North Carolina,Demo,,,,"South East (NC, SC, TN, MS, AL, GA, FL)",,,,
19563525683,7/26/2024 8:00,New York,Circle Back ,,,,NYC Schools ,,,,
19545475196,7/26/2024 8:00,New Jersey,Closed Lost ,7/16/2024 11:11,,,"Northeast (NJ, RI, MA, NH, ME, VT, CT)",,,,
19496544381,7/26/2024 8:00,New York,Contract Signed,5/20/2024 20:13,9552,,NYC Schools ,,IEP/SPED,Google Classroom,
19387299341,7/26/2024 8:00,Texas,Closed Lost ,6/21/2024 11:28,,,Texas,,Entrepreneurship,,
19273753691,7/26/2024 8:00,New Mexico,Closed Lost ,7/17/2024 13:26,,,"South West (NM, AZ, OK, KS)",,,,
19223170067,7/26/2024 8:00,Virginia,Circle Back ,,2388,,VA,,CCR: Career &College,Canvas LMS (Paid),
19222598817,7/26/2024 8:00,Virginia,Circle Back ,,,,VA,,,,
19222597419,7/26/2024 8:00,Virginia,Closed Lost,6/20/2024 9:43,,,VA,,,,
19221714260,7/26/2024 8:00,Virginia,Closed Lost,7/18/2024 11:24,,,VA,,,,
19195298334,7/26/2024 8:00,Maryland,Due w/n 90 days ,,85025,,Renewals ,,,,
19195297411,7/26/2024 8:00,,Overdue Renewals,,12000,,Renewals ,,,,
19195028909,7/26/2024 8:00,Maryland,Due w/n 60 days ,,,,Renewals ,,,,
19194778254,7/26/2024 8:00,Texas,Contract Signed ,5/14/2024 13:12,2000,,Renewals ,,Entrepreneurship; CCR: Career &College,Other,
19194773278,7/26/2024 8:00,,Contract Signed ,5/6/2024 13:34,7200,,Renewals ,,,,
19193604441,7/26/2024 8:00,,Overdue Renewals,,13500,,Renewals ,,,,
19192893866,7/26/2024 8:00,New York,Overdue Renewals,,12000,,Renewals ,,,,
19096398594,7/26/2024 8:00,Texas,Late Stage Meeting,,,,Texas,,IEP/SPED,,
19036965546,7/26/2024 8:00,Texas,Closed Lost ,7/30/2024 14:05,13500,,Texas,,Entrepreneurship,,
19035732381,7/26/2024 8:00,Texas,Contract Signed ,4/5/2024 13:38,9850,,Texas,,,,
19007839030,7/26/2024 8:00,Arkansas,Contract Issued ,4/30/2024 12:30,0,,"South (LA, AR, AL, MS)",,CCR: Career &College,Canvas LMS (Paid),
18939121005,7/26/2024 8:00,Virginia,Closed Lost,5/29/2024 13:30,1990,,VA,,Entrepreneurship; CCR: Career &College,,
18918684582,7/26/2024 8:00,Pennsylvania,Circle Back ,,,,"Appalachia (TN, OH, KY, WV, PA) ",,,,
18917485657,7/26/2024 8:00,Virginia,Closed Lost,7/8/2024 20:01,,,VA,,,,
18900409908,7/26/2024 8:00,Pennsylvania,Closed Lost ,5/29/2024 14:26,,,"Appalachia (TN, OH, KY, WV, PA) ",,,,
18898615860,7/26/2024 8:00,New Jersey,Demo,,,,"Northeast (NJ, RI, MA, NH, ME, VT, CT)",,,,
18848380991,7/26/2024 8:00,Virginia,Contract Signed ,5/6/2024 9:33,2000,,VA,,CCR: Career &College,Canvas LMS (Free),
